score_id,assessment_id,item_id,source_id,as_is_score,as_is_rationale,as_is_confidence_score,as_is_confidence_rationale,to_be_score,to_be_rationale,created_at,updated_at,item_type
1,1,D3,Adrian Croft,3,"Based on CIM, finance function appears robust.",NULL,NULL,4.5,NULL,2025-09-03 19:31:51.320539+00,2025-09-03 19:31:51.320539+00,discipline
2,1,D1,Adrian Croft,2.5,"Product seems solid, but roadmap is unclear.",NULL,NULL,4,NULL,2025-09-03 19:31:51.320539+00,2025-09-03 19:31:51.320539+00,discipline
3,1,D3,ARIA,2.8,"CIM financials are strong, but key SaaS metrics are missing.",75,Confidence is moderate; based only on management-provided CIM.,4.5,NULL,2025-09-03 19:31:51.320539+00,2025-09-03 19:31:51.320539+00,discipline
4,2,C301,Adrian Croft,1.5,Financial Reporting is weak; non-standard ARR composition discovered.,NULL,NULL,5,NULL,2025-09-03 19:31:51.320539+00,2025-09-03 19:31:51.320539+00,capability
5,2,L-311,Adrian Croft,1.4,Revenue recognition policies are aggressive and a critical risk.,NULL,NULL,5,NULL,2025-09-03 19:31:51.320539+00,2025-09-03 19:31:51.320539+00,lever
6,2,C101,Adrian Croft,1.4,"Product Strategy is flawed, evidenced by failed launches.",NULL,NULL,4.5,NULL,2025-09-03 19:31:51.320539+00,2025-09-03 19:31:51.320539+00,capability
7,2,L-111,Adrian Croft,1.2,The strategic plan is not credible and disconnected from market reality.,NULL,NULL,4.8,NULL,2025-09-03 19:31:51.320539+00,2025-09-03 19:31:51.320539+00,lever
8,2,C301,ARIA,1.6,Analysis of raw financial data confirms systemic issues in revenue recognition.,95,Confidence is high based on direct analysis of DDI-026 and DDI-039.,5,NULL,2025-09-03 19:31:51.320539+00,2025-09-03 19:31:51.320539+00,capability
9,3,C201,Evelyn Reed,3,Sales process is effective but informal.,NULL,NULL,4.5,NULL,2025-09-03 19:31:51.320539+00,2025-09-03 19:31:51.320539+00,capability
10,3,C301,Evelyn Reed,2.8,Finance relies on spreadsheets for forecasting.,NULL,NULL,4.5,NULL,2025-09-03 19:31:51.320539+00,2025-09-03 19:31:51.320539+00,capability
11,4,C201,Evelyn Reed,4.2,"MEDDIC rollout complete, driving strong NRR.",NULL,NULL,4.8,NULL,2025-09-03 19:31:51.320539+00,2025-09-03 19:31:51.320539+00,capability
12,4,C301,Evelyn Reed,3.8,"ERP is live, close cycle is down to 6 days.",NULL,NULL,4.5,NULL,2025-09-03 19:31:51.320539+00,2025-09-03 19:31:51.320539+00,capability
13,5,C402,Evelyn Reed,3.8,"Overall innovation is strong, but specific new initiatives are lagging.",NULL,NULL,5,NULL,2025-09-03 19:31:51.320539+00,2025-09-03 19:31:51.320539+00,capability
14,5,L-423,Evelyn Reed,3.2,"The team is struggling with integrating NewCo's legacy data models, delaying the AI feature launch.",NULL,NULL,5,NULL,2025-09-03 19:31:51.320539+00,2025-09-03 19:31:51.320539+00,lever
15,5,L-423,ARIA,3.1,The AI feature is at risk due to data model friction.,98,Confidence is 98% based on Jira velocity reports and engineering meeting transcripts.,5,NULL,2025-09-03 19:31:51.320539+00,2025-09-03 19:31:51.320539+00,lever
181,2,L102001,Adrian Croft,0.9,Updated via slider,NULL,NULL,3.2,Target set via slider,2025-09-08 13:07:22.13601+00,2025-09-08 13:07:22.649979+00,lever
75,1,D2,Adrian Croft,1.2,Updated via slider,NULL,NULL,2.5,Target set via slider,2025-09-07 17:23:21.523073+00,2025-09-07 17:23:23.085151+00,discipline
240,2,L601002,Adrian Croft,0.8,Updated via slider,NULL,NULL,0.8,Target set via slider,2025-09-08 14:36:10.027519+00,2025-09-08 14:36:37.057799+00,lever
139,1,C301,Adrian Croft,2,Updated via slider,NULL,NULL,2.1,Target set via slider,2025-09-08 00:20:03.311465+00,2025-09-08 00:39:44.902901+00,capability
20,2,C803,Evelyn Reed,0,Updated via slider,NULL,NULL,2.6,Target set via slider,2025-09-03 21:55:21.022164+00,2025-09-03 21:55:32.098726+00,capability
119,1,D7,Adrian Croft,0.8,Updated via slider,NULL,NULL,1.8,Target set via slider,2025-09-07 22:59:07.104436+00,2025-09-07 23:00:34.294003+00,discipline
27,2,C803,Connor Hayes,0,Updated via slider,NULL,NULL,3.7,Target set via slider,2025-09-03 23:45:45.411986+00,2025-09-03 23:45:55.248407+00,capability
147,1,D5,Adrian Croft,1.3,Updated via slider,NULL,NULL,1.7,Target set via slider,2025-09-08 00:42:33.818408+00,2025-09-08 01:19:43.021068+00,discipline
167,1,L501003,Adrian Croft,0.2,Updated via slider,NULL,NULL,2.1,Target set via slider,2025-09-08 01:31:22.9817+00,2025-09-08 01:31:27.120997+00,lever
32,2,C502,Connor Hayes,0,Updated via slider,NULL,NULL,1.1,Target set via slider,2025-09-04 00:23:24.110253+00,2025-09-04 00:23:31.193867+00,capability
37,5,C903,Adrian Croft,0,Updated via slider,NULL,NULL,3.3,Target set via slider,2025-09-04 21:04:30.730895+00,2025-09-04 21:04:30.730895+00,capability
80,1,D8,Adrian Croft,1.7,Updated via slider,NULL,NULL,2.3,Target set via slider,2025-09-07 21:00:42.778375+00,2025-09-07 21:43:01.044417+00,discipline
38,1,D6,Adrian Croft,1.5,Updated via slider,NULL,NULL,4.4,Target set via slider,2025-09-07 15:41:42.502747+00,2025-09-07 15:45:36.9538+00,discipline
169,1,L501001,Adrian Croft,0.9,Updated via slider,NULL,NULL,4,Target set via slider,2025-09-08 01:40:13.259486+00,2025-09-08 01:40:23.028796+00,lever
183,2,L104002,Adrian Croft,2,Updated via slider,NULL,NULL,3.7,Target set via slider,2025-09-08 13:12:40.461188+00,2025-09-08 13:43:59.033928+00,lever
172,2,L202002,Adrian Croft,0.7,Updated via slider,NULL,NULL,3,Target set via slider,2025-09-08 01:52:02.818488+00,2025-09-08 01:52:17.019666+00,lever
44,1,D4,Adrian Croft,0.6,Updated via slider,NULL,NULL,2.6,Target set via slider,2025-09-07 15:54:12.767498+00,2025-09-08 00:08:35.305483+00,discipline
110,1,C701,Adrian Croft,0.7,Updated via slider,NULL,NULL,1.2,Target set via slider,2025-09-07 22:22:53.999956+00,2025-09-07 22:56:52.57139+00,capability
177,2,L102002,Adrian Croft,1.5,Updated via slider,NULL,NULL,3.6,Target set via slider,2025-09-08 13:02:07.59475+00,2025-09-08 13:02:09.15693+00,lever
16,2,D1,Adrian Croft,0.8,Updated via slider,NULL,NULL,2.1,Target set via slider,2025-09-03 20:19:50.534457+00,2025-09-08 13:06:33.736388+00,discipline
230,2,C602,Adrian Croft,0.2,Updated via slider,NULL,NULL,2.4,Target set via slider,2025-09-08 14:31:13.395799+00,2025-09-08 14:36:00.506612+00,capability
190,2,L301001,Adrian Croft,0.1,Updated via slider,NULL,NULL,2.8,Target set via slider,2025-09-08 13:55:13.999453+00,2025-09-08 14:28:31.578054+00,lever
254,2,C601,Adrian Croft,0.8,Updated via slider,NULL,NULL,4.4,Target set via slider,2025-09-08 14:36:42.822184+00,2025-09-08 14:37:32.220286+00,capability
